ucname_file,error_flag,nome,Pré-Requisitos,Carga Horária Total,Carga Horária Prática,Carga Horária Teórica,Carga Horária Extensão
interação humano-computador,False,interação humano-computador,programação orientada a objetos,72,18,54,0
introdução à análise de falhas em metais,False,introdução à análise de falhas em metais,metalurgia mecânica,72,0,72,0
introdução à bioinformática,False,introdução à bioinformática,biologia molecular da célula ; lógica de programação,72,36,36,0
introdução à biologia de sistemas,False,introdução à biologia de sistemas,biologia molecular da célula,72,36,36,0
introdução à biotecnologia,False,introdução à biotecnologia,não há,36,0,36,0
introdução à ecologia,False,introdução à ecologia,não há,72,0,72,0
introdução à eletrotécnica,False,introdução à eletrotécnica,circuitos elétricos ii,36,0,36,0
introdução à engenharia biomédica,False,introdução à engenharia biomédica,não há,36,0,36,0
introdução à engenharia de materiais,False,introdução à engenharia de materiais,não há,36,0,36,0
introdução à engenharia financeira,False,introdução à engenharia financeira,cálculo em várias variáveis; probabilidade e estatística,72,36,36,0
introdução à geometria diferencial,False,introdução à geometria diferencial,cálculo em várias variáveis,72,0,72,0
introdução à nanotecnologia,False,introdução à nanotecnologia,não há,36,6,30,0
introdução à neurociência,False,introdução à neurociência,séries e equações diferenciais ordinárias; algoritmos em bioinformática; fisiologia humana,72,36,36,0
introdução à pesquisa operacional,False,introdução à pesquisa operacional,álgebra linear,72,8,64,0
introdução à teoria dos sistemas dinâmicos,False,introdução à teoria dos sistemas dinâmicos,análise real i,72,0,72,0
introdução à ótica biomédica,False,introdução à ótica biomédica,fenômenos do contínuo,72,0,72,0
introdução às redes neurais artificiais,False,introdução às redes neurais artificiais,algoritmos e estruturas de dados i,72,36,36,0
laboratório avançado de métodos ágeis e software,False,laboratório avançado de métodos ágeis e software,algoritmos e estruturas de dados i,108,72,36,0
laboratório de biologia molecular e celular,False,laboratório de biologia molecular e celular,biologia molecular da célula,36,36,0,0
laboratório de bioquímica,False,laboratório de bioquímica,bioquímica i; biologia molecular do gene,72,72,0,0
laboratório de bioquímica analítica,False,laboratório de bioquímica analítica,bioquímica analítica,36,36,0,0
laboratório de circuitos elétricos,False,laboratório de circuitos elétricos,fenômenos eletromagnéticos; circuitos elétricos i,36,36,0,0
laboratório de eletrônica digital,False,laboratório de eletrônica digital,circuitos digitais,36,36,0,0
laboratório de engenharia bioquímica,False,laboratório de engenharia bioquímica,engenharia bioquímica i,36,36,0,0
laboratório de estatística aplicada,False,laboratório de estatística aplicada,probabilidade e estatística,72,36,36,0
laboratório de matemática,False,laboratório de matemática,não há,36,36,0,0
laboratório de microbiologia,False,laboratório de microbiologia,microbiologia geral,36,36,0,0
laboratório de sistemas computacionais: arquitetura e organização de computadores,False,laboratório de sistemas computacionais: arquitetura e,arquitetura e organização de computadores; laboratório de sistemas computacionais: circuitos digitais,72,58,14,0
laboratório de sistemas computacionais: circuitos digitais,False,laboratório de sistemas computacionais: circuitos digitais,circuitos digitais,36,28,8,0
laboratório de sistemas computacionais: compiladores,False,laboratório de sistemas computacionais: compiladores,compiladores; laboratório de sistemas computacionais: engenharia de sistemas,72,58,14,0
laboratório de sistemas computacionais: comunicação digital,False,lab de sistemas computacionais: comunicação,redes de computadores; laboratório de sistemas computacionais: sistemas operacionais,72,36,36,0
laboratório de sistemas computacionais: engenharia de sistemas,False,laboratório de sistemas computacionais: engenharia de sistemas,laboratório de sistemas computacionais: arquitetura e organização de computadores,36,28,8,0
laboratório de sistemas computacionais: sistemas operacionais,False,laboratório de sistemas computacionais: sistemas operacionais,sistemas operacionais; laboratório de sistemas computacionais: compiladores,72,58,14,0
laboratório de usabilidade na web,False,laboratório de usabilidade na web,programação orientada a objetos,72,48,24,0
linguagens formais e autômatos,False,linguagens formais e autômatos,matemática discreta; lógica de programação,72,0,72,0
lógica de programação,False,lógica de programação,não há,72,30,42,0
manufatura aditiva,False,manufatura aditiva,processamento de materiais cerâmicos,72,0,72,0
marketing estratégico,False,marketing estratégico,teorias administrativas,36,0,36,0
matemática discreta,False,matemática discreta,não há,72,36,36,0
matemática geral,False,matemática geral,cálculo em uma variável,72,0,72,0
materiais aeroespaciais,False,materiais aeroespaciais,"materiais metálicos, materiais cerâmicos, materiais poliméricos",72,0,72,0
materiais cerâmicos,False,materiais cerâmicos,ciência e tecnologia dos materiais,72,12,60,0
materiais compósitos,False,materiais compósitos,ciência e tecnologia de materiais,72,8,64,0
materiais de construção civil,False,materiais de construção civil,materiais cerâmicos,72,0,72,0
materiais elétricos,False,materiais elétricos,fenômenos eletromagnéticos,72,0,72,0
materiais metálicos,False,materiais metálicos,ciência e tecnologia dos materiais,72,20,52,0
materiais poliméricos,False,materiais poliméricos,ciência e tecnologia dos materiais,72,12,60,0
matérias-primas cerâmicos,False,matérias-primas cerâmicas,materiais cerâmicos,72,16,56,0
mecânica geral,False,mecânica geral,geometria analítica; fenômenos mecânicos,72,0,72,0
metalurgia extrativa,False,metalurgia extrativa,"materiais metálicos, termodinâmica dos sólidos",36,0,36,0
metalurgia física,False,metalurgia física,ciência e tecnologia dos materiais,72,0,72,0
metalurgia mecânica,False,metalurgia mecânica,ciência e tecnologia dos materiais; resistência dos materiais,72,0,72,0
metodologia da pesquisa e comunicação ciêntífica,False,metodologia da pesquisa e comunicação científica,não há,36,8,28,0
microbiologia aplicada e industrial,False,microbiologia aplicada e industrial,microbiologia geral,72,0,72,0
microbiologia geral,False,microbiologia geral,não há,72,0,72,0
microeconomia,False,microeconomia,não há,36,0,36,0
modelagem computacional,False,modelagem computacional,lógica de programação; cálculo em uma variável,36,18,18,0
modelagem de dados,False,modelagem de dados,não há,72,36,36,0
modelagem molecular,False,modelagem molecular,biologia estrutural,72,36,36,0
modelos animais,False,modelos animais,biotecnologia animal,72,0,72,0
multimídia,False,multimídia,algoritmos e estruturas de dados i,72,30,42,0
métodos avançados em processamento de imagens biomédicas,False,métodos avançados em processamento de,análise de sinais,72,36,36,0
métodos estatísticos multivariados,False,métodos estatísticos multivariados,probabilidade e estatística,72,36,36,0
métodos matemáticos para a engenharia,False,métodos matemáticos para a engenharia,séries e equações diferenciais ordinárias; cálculo em várias variáveis,72,0,72,0
métodos numéricos para equações diferenciais,False,métodos numéricos para equações diferenciais,cálculo numérico; álgebra linear; séries e equações diferenciais ordinárias,72,14,58,0
otimização inteira,False,otimização inteira,otimização linear,72,10,62,0
otimização linear,False,otimização linear,geometria analítica; lógica de programação,72,14,58,0
otimização não linear,False,otimização não linear,cálculo em várias variáveis; cálculo numérico,72,14,58,0
paradigmas da programação,False,paradigmas de programação,programação orientada a objetos,72,36,36,0
planejamento de experimentos,False,planejamento de experimentos,probabilidade e estatística,72,36,36,0
probabilidade,False,probabilidade,probabilidade e estatística; cálculo em várias variáveis,72,12,60,0
probabilidade e estatística,False,probabilidade e estatística,cálculo em uma variável,72,16,56,0
processamento de imagens,False,processamento de imagens,algoritmos e estruturas de dados i; séries e equações diferenciais ordinárias,72,24,48,0
processamento de materiais cerâmicos,False,processamento de materiais cerâmicos,materiais cerâmicos,72,16,56,0
processamento de materiais metálicos,False,processamento de materiais metálicos,"metalurgia física, metalurgia mecânica",72,8,64,0
processamento de sinais,False,processamento de sinais,análise de sinais; algoritmos em bioinformática,36,36,0,0
processamento de termofíxos e elastômeros,False,processamento de termofixos e elastômeros,materiais poliméricos,36,8,28,0
processamento de termoplásticos,False,processamento de termoplásticos,materiais poliméricos,72,16,56,0
programação concorrente e distribuída,False,programação concorrente e distribuída,sistemas operacionais,72,30,42,0
programação orientada a objetos,False,programação orientada a objetos,algoritmos e estruturas de dados i,72,36,36,0
programação paralela e processamento de alto desempenho,False,programação paralela e processamento de alto desempenho,programação concorrente e distribuída,72,36,36,0
projeto e análise de algoritmos,False,projeto e análise de algoritmos,matemática discreta; algoritmos e estruturas de dados ii,72,20,52,0
projeto orientado a objetos,False,projeto orientado a objetos,programação orientada a objetos,72,36,36,0
projetos em engenharia da computação,False,projetos em engenharia de computação,não há,36,28,8,0
proteômica,False,proteômica,bioquímica analítica; introdução à bioinformática,72,36,36,0
prototipagem e manufatura aditiva,False,prototipagem e manufatura aditiva,desenho técnico básico,72,10,62,0
prática em projetos extensionistas i,False,prática em projetos extensionistas i,química geral; lógica de programação; fundamentos de biologia moderna,72,0,0,72
práticas de extensão e divulgação científica,False,práticas de extensão e divulgação científica,não há,72,0,56,16
práticas em instrumentação biomédica,False,práticas em instrumentação biomédica,instrumentos eletromédicos; instrumentos biomédicos; sistemas embarcados; biossensores,72,72,0,0
práticas em projetos extensionistas ii,False,práticas em projetos extensionistas ii,química geral; lógica de programação;,72,0,0,72
qualidade,False,qualidade,probabilidade e estatística,36,0,36,0
quimica medicinal ii,False,química medicinal ii,química medicinal i,72,0,72,0
química analítica,False,química analítica,química geral; química geral experimental,72,48,24,0
química geral,False,química geral,não há,72,0,72,0
química geral experimental,False,química geral experimental,não há,72,72,0,0
química inorgânica,False,química inorgânica,química geral,72,12,60,0
química medicinal i,False,química medicinal i,bioquímica i,72,0,72,0
química orgânica,False,química orgânica,química geral,72,0,72,0
química orgânica experimental,False,química orgânica experimental,química geral; química geral experimental,72,72,0,0
radioterapia para engenharia,False,radioterapia para engenharia,instrumentos biomédicos,72,0,72,0
realidade virtual e aumentada,False,realidade virtual e aumentada,algoritmos e estruturas de dados i,72,18,54,0
reciclagem de materiais,False,reciclagem de materiais,ciência e tecnologia dos materiais,36,0,36,0
redes de computadores,False,redes de computadores,programação orientada a objetos,72,20,52,0
relações étnico-raciais e cultura afro-brasileira e indígena,False,relações étnico-raciais e cultura afro-brasileira e indígena,não há,36,0,36,0
reologia dos materiais,False,reologia dos materiais,"materiais poliméricos, fenômenos de transporte",36,6,30,0
resistência dos materiais,False,resistência dos materiais,mecânica geral,72,0,72,0
resolução de problemas via modelagem matemática,False,resolução de problemas via modelagem,"cálculo em várias variáveis, geometria analítica, lógica de programação",72,52,20,0
