"ucname_file","error_flag","nome","Pré-Requisitos","Carga Horária Total","Carga Horária Prática","Carga Horária Teórica","Carga Horária Extensão","id","group","topgen","size"
"processamento de materiais metálicos",False,"processamento de materiais metálicos","metalurgia física, metalurgia mecânica",72.0,8.0,64.0,0.0,181,"003","4",1.0
"processamento de sinais",False,"processamento de sinais","análise de sinais; algoritmos em bioinformática",36.0,36.0,0.0,0.0,182,"004","3",1.0
"processamento de termofíxos e elastômeros",False,"processamento de termofixos e elastômeros","materiais poliméricos",36.0,8.0,28.0,0.0,183,"004","3",1.0
"processamento de termoplásticos",False,"processamento de termoplásticos","materiais poliméricos",72.0,16.0,56.0,0.0,184,"004","3",1.0
"programação concorrente e distribuída",False,"programação concorrente e distribuída","sistemas operacionais",72.0,30.0,42.0,0.0,185,"004","3",2.0
"programação orientada a objetos",False,"programação orientada a objetos","algoritmos e estruturas de dados i",72.0,36.0,36.0,0.0,186,"005","2",3.0
"programação paralela e processamento de alto desempenho",False,"programação paralela e processamento de alto desempenho","programação concorrente e distribuída",72.0,36.0,36.0,0.0,187,"003","4",1.0
"projeto e análise de algoritmos",False,"projeto e análise de algoritmos","matemática discreta; algoritmos e estruturas de dados ii",72.0,20.0,52.0,0.0,188,"004","3",2.0
"projeto orientado a objetos",False,"projeto orientado a objetos","programação orientada a objetos",72.0,36.0,36.0,0.0,189,"004","3",1.0
"projetos em engenharia da computação",False,"projetos em engenharia de computação","não há",36.0,28.0,8.0,0.0,190,"000","",""
"proteômica",False,"proteômica","bioquímica analítica; introdução à bioinformática",72.0,36.0,36.0,0.0,191,"004","3",1.0
"prototipagem e manufatura aditiva",False,"prototipagem e manufatura aditiva","desenho técnico básico",72.0,10.0,62.0,0.0,192,"006","1",1.0
"prática em projetos extensionistas i",False,"prática em projetos extensionistas i","química geral; lógica de programação; fundamentos de biologia moderna",72.0,0.0,0.0,72.0,193,"006","1",1.0
"práticas de extensão e divulgação científica",False,"práticas de extensão e divulgação científica","não há",72.0,0.0,56.0,16.0,194,"000","",""
"práticas em instrumentação biomédica",False,"práticas em instrumentação biomédica","instrumentos eletromédicos; instrumentos biomédicos; sistemas embarcados; biossensores",72.0,72.0,0.0,0.0,195,"004","3",1.0
"práticas em projetos extensionistas ii",False,"práticas em projetos extensionistas ii","química geral; lógica de programação;",72.0,0.0,0.0,72.0,196,"006","1",1.0
"qualidade",False,"qualidade","probabilidade e estatística",36.0,0.0,36.0,0.0,197,"005","2",1.0
"quimica medicinal ii",False,"química medicinal ii","química medicinal i",72.0,0.0,72.0,0.0,198,"004","3",1.0
"química analítica",False,"química analítica","química geral; química geral experimental",72.0,48.0,24.0,0.0,199,"006","1",1.0
"química geral",False,"química geral","não há",72.0,0.0,72.0,0.0,200,"007","0",5.0
"química geral experimental",False,"química geral experimental","não há",72.0,72.0,0.0,0.0,201,"007","0",2.0
"química inorgânica",False,"química inorgânica","química geral",72.0,12.0,60.0,0.0,202,"006","1",1.0
"química medicinal i",False,"química medicinal i","bioquímica i",72.0,0.0,72.0,0.0,203,"005","2",2.0
